苦瓜（一级）,苦瓜（一级）,南瓜（一级）,,,,,,,,,,,,,,,,,,,,,,
蒙牛益生菌酸牛奶(原味)1.2kg,,,,,,,,,,,,,,,,,,,,,,,,
光明酸牛奶(红枣味)180g,,,,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,三全麦香早点奶香馒头1.36kg,,,,,,,,,,,,,,,,,,,,,,,
白砂糖(散),鸭边腿,,,,,,,,,,,,,,,,,,,,,,,
益民料酒350ml,,,,,,,,,,,,,,,,,,,,,,,,
散装东北米(中汇),,,,,,,,,,,,,,,,,,,,,,,,
对虾,带鱼200-300,枪手杀飞虫气雾剂600毫升,,,,,,,,,,,,,,,,,,,,,,
海天草菇老抽酱油500ml,,,,,,,,,,,,,,,,,,,,,,,,
鲁花压榨特香菜籽油5L,,,,,,,,,,,,,,,,,,,,,,,,
五丰高汤芹菜猪肉水饺720g,光明酸牛奶(红枣味)100g*8,,,,,,,,,,,,,,,,,,,,,,,
日本南瓜（一级）,,,,,,,,,,,,,,,,,,,,,,,,
鸭爪,,,,,,,,,,,,,,,,,,,,,,,,
鸭爪,鸡爪,长瓜（一级）,,,,,,,,,,,,,,,,,,,,,,
三全麦香早点奶香馒头1.36kg,紫甘薯（一级）,西红柿（一级）,,,,,,,,,,,,,,,,,,,,,,
三全麦香早点奶香馒头1.36kg,日本南瓜（一级）,白砂糖(散),芋艿（一级）,,,,,,,,,,,,,,,,,,,,,
雪健家庭用小麦粉2.5kg,多晶冰糖(散),鲁花压榨特香菜籽油5L,,,,,,,,,,,,,,,,,,,,,,
咸亨香糟卤500ml,青菜（一级）,鸡爪,黑茄（一级）,康师傅番茄笋干排骨面104克*5包,康师傅笋干烧肉面102克*5包,康师傅酸菜牛肉桶面122克,,,,,,,,,,,,,,,,,,
鲜鸡蛋,鸭边腿,,,,,,,,,,,,,,,,,,,,,,,
芋艿（一级）,绿箭粒装口香糖64克,旺仔牛奶复原乳245ml,,,,,,,,,,,,,,,,,,,,,,
五丰刀切馒头450g,五丰玉米刀切450g,五丰豆沙包510g,,,,,,,,,,,,,,,,,,,,,,
民益芝麻桃酥280g,北方绿人加钙酥性饼干390克,塑料购物袋(大),,,,,,,,,,,,,,,,,,,,,,
萝卜（一级）,梅豆（一级）,,,,,,,,,,,,,,,,,,,,,,,
鲜鸡蛋,蒙牛真果粒牛奶饮品(草莓果粒)250m,康师傅冰红茶柠檬口味茶饮品500ml*,益民糯米黄酒400ml,塑料购物袋(大),康师傅冰红茶柠檬口味茶饮品2L,老李五香干70克,动心一族奶油果仁蛋糕200克,鸿兴源好德十香粉30克,康师傅冰绿茶瓶装500ml,丝诺纯棉木棒棉签100支装,长城医用棉签50支,众望小麻花海苔咸味130克,口水娃香脆兰花豆五香味106克,乐事清新清爽小番茄味薯片45g,乐事清新清爽黄瓜味薯片45g,老李五香鸡翅80克,奇多干杯脆美式火鸡味粟米粒25克,奇多干杯脆日式牛排味粟米粒25克,星福益零嘴梅话梅经典原味40g,麦香堡夹心豆沙面包40克,喜之郎黄桃＆蜜桃果肉果冻200克,圣茗香鹌鹑蛋45克,伊利纯牛奶250ML,
光明莫斯利安酸牛奶(原味)190g*6盒,芽变葡萄(一级),南瓜（一级）,土豆（一级）,芋艿（一级）,,,,,,,,,,,,,,,,,,,,
海天黄豆酱800g,新疆红枣（一级）,白砂糖(散),紫甘薯（一级）,,,,,,,,,,,,,,,,,,,,,
海天草菇老抽酱油500ml,奥妙超效洗衣皂含芦荟精华206克*2,,,,,,,,,,,,,,,,,,,,,,,
黑茄（一级）,黄芽菜（一级）,苦瓜（一级）,木耳菜（一级）,灯椒（一级）,散花菜(一级),裙带菜,西红柿（一级）,百合（一级）,杏包菇（一级）,,,,,,,,,,,,,,,
